brand,priority_tier,region,country,activity_name,activity_type,activity_status,start_date,end_date,discovery_date,channel_source,source_url,proof_screenshot,city_or_region,venue,online_offline,product_line,member_only,member_benefit,wecom_or_private_traffic_hook,entry_threshold,signup_flow,target_audience,core_mechanic,ugc_or_creator_mechanic,offer_or_incentive,partnership_or_ip,visual_keyword,engagement_signal,conversion_signal,reuse_score_for_insta360,replication_difficulty,insight_summary,recommendation_for_insta360,owner,review_status,last_updated,link_type,link_note,brand_role,campaign_goal_primary,festival_tag,cooperation_potential,private_traffic_type,conversion_estimate_band
DJI,P0,Global,Global,Introducing DJI Flip: All-in-One Vlog Camera Drone,product_launch,completed,2025/01/14,2025/01/14,2026/06/09,official newsroom,https://www.dji.com/newsroom/news/introducing-dji-flip-all-in-one-vlog-camera-drone,,Global,官网,online,no,,,public,newsroom to product page,vlog creators,easy aerial vlog capture,,,,foldable drone,launch content and product page handoff,clear path to product consideration,5,medium,高重合的影像竞品新品发布样本，适合看新品收口逻辑。,影石可参考新品页到门店试拍和购买的收口链路。,codex-trial,seeded,2026/06/26,detail,活动详情页,direct_competitor,direct_competitor,purchase_conversion,new_year,low,none,1.5%-2.5%
GoPro,P0,USA,USA,GoPro’s New 360 Experience: A Refreshed MAX and All-New Quik Editing Experience with AI-Powered Object Tracking,product_launch,completed,2025/02/18,2025/02/18,2026/06/09,official news,,,USA,官网,online,no,,,public,news article,action camera users,360 product refresh,AI object tracking,,,,product refresh,news coverage,product consideration,4,medium,竞品新品发布但公开证据链不稳定，适合保留做对照样本。,影石可对比竞品在 360 产品焕新时的叙事重点。,codex-trial,seeded_with_inference,2026/06/26,invalid,链接不可直接打开或已失效,direct_competitor,purchase_conversion,spring_launch,low,none,1.5%-2.5%
Huawei,P0,China,China,2026 华为影像大赛全球开赛，此刻由你掌镜，共赴移动影像创作新程,ugc_creator_competition,active,2026/03/23,2026/12/31,2026/06/22,official news article,https://consumer.huawei.com/cn/press/news/2026/huawei-xmage-awards-2026-open-call-for-entries/,,Global / 中国区,官网投稿入口,hybrid,no,投稿后可进入创作者体系,可承接创作者社群,公开投稿,官网报名投稿 -> 作品传播 -> 评选与展映,mobile creators; photography lovers,年度影像赛事征集,作品投稿与话题传播,赛事荣誉与曝光,XMAGE,影像大赛,投稿与作品扩散,创作者线索沉淀与社区回流,5,medium,长期创作者征集样本，兼顾内容传播、社群沉淀和品牌资产积累。,影石可做年度创作征集，把投稿、展映和会员活动打通。,codex-trial,seeded,2026/06/26,detail,活动详情页,adjacent_competitor,adjacent_competitor,content_growth,graduation_season|summer_holiday,low,official_account,6%-8%
Huawei,P1,China,China,2026 XMAGE 共见・深圳启幕 颁发首批“华为影像 XMAGE 特约摄影师”,city_activation,completed,2026/05/16,2026/05/16,2026/06/22,official news article,https://consumer.huawei.com/cn/press/news/2026/xmage-event-sz/,,深圳,城市影像活动,offline,no,摄影师认证与曝光,可承接本地创作者社群,公开参与/受邀,活动宣发 -> 到场参与 -> 内容扩散,photographers; creator community,城市影像活动 + 摄影师认证,现场创作与传播,摄影师认证与曝光,XMAGE,城市影像活动,城市活动与摄影圈层讨论,创作者关系沉淀和后续活动承接,4,medium,本地城市活动与创作者身份体系结合，适合社群运营。,影石可做城市创作者小聚，把试拍、认证和社群承接做成固定动作。,codex-trial,seeded,2026/06/26,detail,活动详情页,adjacent_competitor,adjacent_competitor,community_retention,summer_holiday,medium,official_account,4%-6%
Xiaomi,P0,China,China,小米 FRIEND 会员规则-6月,member_service_activity,active,2026/06/01,2026/06/15,2026/06/15,official membership page,https://www.mi.com/article/detail/d8c2a98d9cd4.html,,全国,小米商城 / 小米之家,hybrid,yes,会员资格与续卡权益,商城与门店消费都可并入会员体系,满足消费或设备条件,登录小米账号 -> 达标领取会员 -> 享受权益,mi fans; smart home users,消费达标 + 设备绑定换取会员权益,,会员身份与续卡资格,,会员规则,商城与门店统一规则,消费与设备绑定同时拉动复购,5,medium,高价值会员体系样本，适合参考门店与电商统一会员成长值。,影石可把设备激活、门店消费和社群任务并入会员成长值。,codex-trial,seeded,2026/06/26,entry,会员规则与转化入口页,adjacent_competitor,adjacent_competitor,member_acquisition,618|summer_holiday,low,app_membership,8%-12%
Samsung,P1,China,China,三星14天无忧试用服务,member_service_activity,active,2026/06/26,2026/07/31,2026/06/26,official campaign page,https://www.samsung.com/cn/offer/galaxy-try-buy/,,全国,三星商城 / 图腾小程序,hybrid,yes,14天试用资格与多机型体验名额,试用后可进一步承接购买与会员触达,保证金与名额限制,活动页浏览机型 -> 立即试用 -> 小程序预约退回或转购买,high-intent premium users,先试后买 + 限量名额 + 保证金机制,,14天试用体验,,无忧试用,限量名额与多机型试用,先体验后购买的决策链路更完整,5,medium,高客单产品的强转化样本，特别适合做高意向用户转化。,影石可做7天试拍或限量试用机制，把观望用户推到门店体验。,codex-trial,seeded,2026/06/26,detail,官方活动页,adjacent_competitor,adjacent_competitor,purchase_conversion,618|summer_holiday,low,mini_program,8%-12%
Samsung,P1,China,China,三星以旧换新夏季档（2026年6月22日起）,member_benefit,active,2026/06/22,2026/06/30,2026/06/26,official campaign page,https://www.samsung.com/cn/offer/trade-in/,,全国,三星商城 / 回收门店,hybrid,yes,至高1000元换新补贴与一站式回收服务,,三星会员ID / 回收旧机,活动页进入 -> 旧机估价 -> 下单新机 -> 上门/快递回收,upgrade users; existing Samsung owners,旧机回收补贴 + 新机购买转化,,至高1000元补贴,,以旧换新 / 夏季档,回收估价与补贴政策,升级购买链路短且补贴明确,5,low,典型的高转化升级型活动页，适合参考补贴和回收一体化逻辑。,影石可做以旧换新夏季档，把旧机回收、配件补贴和门店试拍统一打包。,codex-trial,seeded,2026/06/26,detail,官方活动页,adjacent_competitor,adjacent_competitor,purchase_conversion,618|summer_holiday,low,none,6%-8%
OnePlus,P1,China,China,2026「一加杯」全国电竞赛,community_operation,active,2026/06/26,2026/08/31,2026/06/26,official homepage,https://www.oneplus.com/cn,,全国,赛事报名 / 线下总决赛,hybrid,no,报名参赛、赢奖金、积分与换机权益,赛事报名后可持续导入电竞社区,了解赛事并报名,官网活动卡 -> 了解赛事和报名 -> 晋级与线下决赛,young gamers; esports fans,全国赛事 + 奖金激励 + 社区运营,赛事内容传播与玩家晒图,10万奖金 / 全国大赛积分 / 换机权益,和平精英,全国电竞赛,官方赛事与异地参赛支持,把游戏人群兴趣转成长期品牌社区参与,4,medium,赛事型活动对年轻人群拉新和社群沉淀非常有效。,影石可做运动记录赛或城市挑战赛，把报名、作品上传和门店体验串起来。,codex-trial,seeded_with_inference,2026/06/26,entry,转化入口页,adjacent_competitor,adjacent_competitor,community_retention,summer_holiday,medium,official_account,2.5%-4%
NIO,P0,China,China,NIO App 活动报名与车友社群入口,community_operation,active,2026/06/26,2026/06/26,2026/06/26,official community page,https://www.nio.cn/nio-app,,全国,NIO App,hybrid,yes,App 报名活动、加入社群、积分与服务承接,官方活动报名与车友社群关系长期沉淀,下载并登录NIO App,进入 App -> 浏览官方频道 -> 报名活动 / 加入社群,NIO owners; community members,App 社区 + 活动报名 + 车友社群,车主内容分享,积分 / 活动资格 / 社群关系,,社区 App,官方资讯与活动报名并存,把内容消费转成活动报名和社群加入,5,medium,把内容、活动报名、车友关系和服务放进一个入口，长期留存能力强。,影石可强化 App 或小程序中的活动报名区，让内容浏览直接转报名和入群。,codex-trial,seeded,2026/06/26,entry,转化入口页,offline_scene_brand,offline_scene_brand,community_retention,summer_holiday,medium,app_membership,6%-8%
NIO,P0,China,China,预约试驾-NIO 蔚来官网,test_drive_booking,active,2026/06/15,2026/06/15,2026/06/15,official test-drive page,https://www.nio.cn/test-drive,,全国,蔚来门店 / 试驾路线,hybrid,no,预约后由蔚来专家讲解产品与服务,预约线索可继续沉淀到顾问与用户社群,提交姓名与电话,填写预约信息 -> 分配门店与专家 -> 到店试驾,high intent EV buyers,预约试驾 + 专家讲解,,专家讲解与近距离体验,,预约试驾,表单提交与专家跟进,线索收口非常直接,5,low,这是强转化入口模板，但更适合作为结构参考，不适合作为影石主参考方向。,影石可参考其预约体验表单结构，但不建议作为主首页重点展示。,codex-trial,seeded,2026/06/26,entry,转化入口页,offline_scene_brand,offline_scene_brand,purchase_conversion,summer_holiday,low,store_consultant,8%-12%
