brand,priority_tier,region,country,activity_name,activity_type,activity_status,start_date,end_date,discovery_date,channel_source,source_url,proof_screenshot,city_or_region,venue,online_offline,product_line,member_only,member_benefit,wecom_or_private_traffic_hook,entry_threshold,signup_flow,target_audience,core_mechanic,ugc_or_creator_mechanic,offer_or_incentive,partnership_or_ip,visual_keyword,engagement_signal,conversion_signal,reuse_score_for_insta360,replication_difficulty,insight_summary,recommendation_for_insta360,owner,review_status,last_updated,link_type,link_note
DJI,P0,Global,Global,Introducing DJI Flip: All-in-One Vlog Camera Drone,product_launch,completed,2025/01/14,2025/01/14,2026/06/09,official newsroom,https://www.dji.com/newsroom/news/introducing-dji-flip-all-in-one-vlog-camera-drone,,,,online,consumer drone / vlog,no,,,public,newsroom to product page,vlog creators; travel creators; first-time drone users,new-product storytelling around easy aerial vlog capture,,,,foldable drone; easy aerial vlog,official launch content and product page handoff,clear path from launch story to product consideration,5,medium,把复杂影像能力包装成更低门槛的生活记录场景，适合影石新品导流。,影石可为新机做“一看就会拍”主题发布内容，并把直播、短视频和预约链路打通。,codex-seed,seeded,2026/06/09,detail,活动详情页
Apple,P0,Global,USA,Apple’s Worldwide Developers Conference returns the week of June 9,conference,completed,2025/06/09,2025/06/13,2026/06/09,official newsroom,https://www.apple.com/newsroom/2025/03/apples-worldwide-developers-conference-returns-the-week-of-june-9/,,Cupertino / online,Apple Park,hybrid,Apple ecosystem / developer tools,no,,,registration / application,newsroom to developer site,developers; students; creator ecosystem,annual flagship conference with keynote; sessions; special event,community sharing and developer storytelling,,,keynote; labs; platform sessions,week-long program across keynote and online sessions,ecosystem loyalty and developer retention,4,high,用年度旗舰大会把内容教育、社区凝聚和新品能力展示合成一个事件。,影石可做年度创作者大会或用户影像周，把新品、教程、创作者案例和线下体验合并。,codex-seed,seeded,2026/06/09,detail,活动详情页
OPPO,P0,China,China,2025OPPO 开发者大会（ODC25）,conference,completed,2025/10/15,2025/10/15,2026/06/09,official newsroom,https://www.oppo.com/cn/newsroom/press/539/,,Shenzhen,,offline,AI ecosystem / ColorOS,no,,,registration,newsroom to event registration,developers; ecosystem partners; tech enthusiasts,developer conference with ecosystem demos and AI topics,,,,AI ecosystem; live keynote,conference format plus announcements,ecosystem stickiness and community acquisition,3,medium,虽然偏开发者生态，但它展示了 OPPO 如何用大会巩固长期社区关系。,影石可做创作者或开发者开放日，把配件、SDK、拍摄工作流和社区招募绑定。,codex-seed,seeded,2026/06/09,detail,活动详情页
vivo,P0,China,China,vivo人文影像馆武汉启幕，以影像科技重塑零售体验,retail_experience,completed,2025/10/18,2025/10/18,2026/06/09,official news,https://www.vivo.com.cn/news/detail/513,,Wuhan,,offline,smartphone imaging / retail,no,,,public,news article to store visit,mobile photography users; lifestyle recorders,theme image house turning retail into immersive brand experience,,,,humanistic photography; exhibition retail,offline immersive experience,store traffic and hands-on conversion,5,medium,把零售店做成可逛可拍可体验的内容空间，比单纯促销更适合高客单影像产品。,影石可做“城市影像馆”或“第一视角记录馆”，把产品试用、作品展示和入会导流放在同一空间。,codex-seed,seeded,2026/06/09,reference,公开参考页
Samsung,P0,Global,USA,Galaxy Unpacked January 2025: The Next Big Leap in Mobile AI Experiences,product_launch,completed,2025/01/22,2025/01/22,2026/06/09,official newsroom,https://news.samsung.com/us/invitation-galaxy-unpacked-january-2025-next-big-leap-mobile-ai-experiences/,,San Jose / online,San Jose,hybrid,Galaxy smartphones / AI ecosystem,no,,,public livestream,newsroom to livestream and preorder,smartphone users; creators; Samsung members,global launch with livestream and follow-up experience zones,,reservation credit and preorder incentives,,AI experiences; keynote; hands-on,global broadcast and post-event experience spaces,launch to preorder funnel,4,high,发布会之外用体验空间和预约激励延长热度，适合影石新品上市周。,影石可把新品发布拆成直播首发、城市体验站和私域预约试拍三段。,codex-seed,seeded,2026/06/09,detail,活动详情页
LEGO,P0,Global,Global,Celebrate World Play Day 2025,city_activation,completed,2025/06/11,2025/06/11,2026/06/09,official newsroom,https://www.lego.com/en-us/aboutus/news/2025/may/world-play-day-2025,,Shanghai and global cities,city play zones,hybrid,family play / LEGO brand,no,,,public,newsroom to participation and sharing,families; kids; young parents; city lifestyle users,global city activations around a single brand day,share play moments,,UN International Day of Play,city installations; playful workshops,offline city activations and digital campaign,brand affinity and store/community traffic,5,medium,用品牌节日把线下城市活动和线上传播串起来，非常适合影石做内容挑战。,影石可打造年度“全民记录日”，联合门店或商圈做拍摄任务和作品征集。,codex-seed,seeded,2026/06/09,detail,活动详情页
DESCENTE,P0,Japan,Japan,MIZUSAWA DOWN NEW MODEL “MERGE” & “TRIDENT” app pre-sale,member_app_presale,completed,2025/12/05,2025/12/09,2026/06/09,official feature page,https://allterrain.descente.com/story/mizusawa-down-new-modelmerge-trident/,,,,hybrid,technical outerwear,yes,DESCENTE app presale from Dec 5 to Dec 9,app sign-in and app traffic,app registration / login,feature story to app presale and online store,urban outdoor users; fashion-conscious outdoor consumers,story-led product launch with app-only presale,,exclusive early access before normal sale,,technical outerwear; app presale,app-first early sales window,member signup and early conversion before general sale,5,medium,把新品发布和 App 会员先行权益绑定，非常贴近影石会员或企微预售打法。,影石可把新品预约试拍或限定配件首发放进会员或企微专享通道。,codex-seed,seeded,2026/06/09,reference,公开参考页
POP MART,P0,Global,China,POP LAND themed activations and “Wacky Mart” touring exhibitions,ip_exhibition_series,completed,,,2026/06/09,official annual results announcement pdf,https://prod-out-res.popmart.com/cms/ANNUAL_RESULTS_ANNOUNCEMENT_FOR_THE_YEAR_ENDED_31_DECEMBER_2025_AND_CHANGE_IN_USE_OF_PROCEEDS_d210fe53f0.pdf,,Beijing / global key cities,POP LAND / touring exhibitions,offline,IP experience / themed retail,no,,,,annual results to park and exhibition awareness,toy collectors; IP fans; city lifestyle users,theme park performances plus themed meet-and-greet and touring exhibitions,IP installations and social sharing,immersive interactive and shopping experiences,THE MONSTERS; Twinkle Twinkle; MOLLY; DIMOO; HIRONO; Zsiga,IP installations; themed retail; meet-and-greet,40 special external events and multi-city offline exhibitions in 2025,deep fan interaction drives store and park traffic,4,high,把 IP、展陈、演出和零售做成一体化体验，对高黏性用户转化很强。,影石可把作品展、试拍区、限定配件或周边和创作者见面会合并成巡回快闪。,codex-seed,seeded_with_inference,2026/06/09,reference,PDF / 规则 / 证明页
CHAGEE,P0,China,China,霸王茶姬 × 乌镇戏剧节｜以茶会友，扶摇同行,brand_collab_offline_activation,completed,2025/10/16,2025/10/26,2026/06/09,official WeChat article linked from media centre,,,"Wuzhen, Jiaxing",乌镇西栅景区 / 戏剧茶铺,hybrid,tea retail / cultural collab,no,limited cards; themed gifts; related promos,mini-program task page and social follow-up,on-site participation or task completion,official content to mini-program task page or store visit,young urban lifestyle users; culture-curious consumers; social sharers,"IP and festival collab plus pop-up space, check-in tasks and performance interaction",NPC photos and social sharing,limited merchandise and surprise tea gifts,Wuzhen Theatre Festival,theater teahouse; art installation; carnival parade,multi-touchpoint onsite activities across festival,task-driven check-in and drink purchase hooks,5,medium,把文化 IP、快闪空间、打卡任务、小程序激励和门店转化合到一个场景里，非常适合影石参考。,影石可绑定城市文化节或户外赛事做“记录任务”，用限定周边、作品卡和企微社群承接。,codex-seed,seeded_with_inference,2026/06/09,reference,公开参考页
GoPro,P1,Global,USA,GoPro’s New 360 Experience: A Refreshed MAX and All-New Quik Editing Experience with AI-Powered Object Tracking,product_launch,completed,2025/02/18,2025/02/18,2026/06/09,official news,,,,,online,360 camera / editing app,no,Premium and Premium+ cloud editing benefits,,public,news article to product and subscription,action creators; adventurers; 360 creators,hardware refresh launched together with app workflow upgrades,,subscription cloud storage and cloud editing,GoPro Quik App,360 reframing; AI object tracking,hardware plus software narrative in one launch,product purchase plus subscription upsell,5,medium,把硬件上新与编辑工具、订阅权益一并推出，提高了单次发布的转化深度。,影石可把新品、剪辑模板和云服务权益绑在同一发布节奏里。,codex-seed,seeded,2026/06/09,reference,公开参考页
